,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
C21H18O11,20.84504494,15.61873367,13.39365181,12.02457716,13.59436095,13.55642713,13.60427406,15.55596305,19.69543721,12.88861998,15.34795129,14.39949073
C18H22O11S1,14.95121808,13.75533661,15.05128074,13.06454706,14.86304467,15.83932227,14.08430898,14.42678644,14.05325626,14.89294808,14.38210988,15.20505753
C18H22O13,21.13197971,19.56802596,24.23958994,18.05372592,18.61203947,27.68902496,23.00728812,20.85349157,25.99762459,24.41351069,23.56766734,24.91596379
C22H22O10,31.29683853,29.20948638,27.2419843,26.39020158,27.31158262,28.96186363,28.20859685,25.92278012,32.09858897,26.52732302,28.71211754,28.06767325
C19H26O10S1,24.7868162,23.0352469,24.64576627,23.52778028,25.19711276,26.02202154,24.78059263,21.99068142,22.19056359,21.70177678,25.47923337,23.58707544
C21H22O9N2,12.24655758,12.6552299,12.9298548,11.18191023,11.30201518,11.69850523,12.04558657,9.946121513,9.867908307,10.78745436,9.537820597,9.698400387
C19H26O12,44.34510811,46.97202053,55.5149687,47.58417276,55.08836077,62.23627941,56.90331039,52.47046976,53.42781504,53.13941663,56.78859386,55.39814677
C23H26O9,38.21139225,37.13279266,39.83886419,36.86346584,37.08514632,41.28785559,40.43534176,34.26749037,38.50541223,34.69623356,38.02176207,36.77015244
C20H30O9S1,19.330446,16.40984119,15.8252196,15.32841646,16.64190052,16.36078774,15.66843483,15.43585146,16.06143739,12.35808001,15.85436204,14.45242553
C22H26O8N2,8.798698603,9.517127719,10.28149956,8.361294051,9.189230027,10.76236141,11.01493459,7.641725168,7.994566562,9.292639085,8.873812001,7.359617827
C20H30O11,28.95436858,32.70761697,36.46872338,34.35550836,39.87759777,41.42746104,39.58822651,35.84513955,38.15127059,35.66471554,37.53214069,37.86384741
C24H30O8,29.80105238,28.88193913,30.36514371,27.39340188,28.49973061,30.95735707,29.66565638,26.3552448,30.07836516,28.37165818,30.06699478,29.42597907
C21H34O10,7.422854084,8.234698576,8.489403605,7.64904125,9.153998669,10.1752222,8.298519845,7.411492879,8.960427956,8.865255872,9.492563975,8.972230049
C25H34O7,12.45589502,12.36167799,11.15697982,10.7505592,10.1273301,12.53818487,11.48651005,10.80703691,13.6468232,11.57699698,12.72880668,11.17137148
C21H21O10N1,12.53603372,10.22341665,10.29539651,10.68050847,10.44972538,10.68452326,11.42457834,8.937243214,9.803726496,9.80025624,10.15005529,8.853332747
C20H21O9N3,11.40477853,11.62019415,13.0974478,11.60678563,10.64774977,12.21398222,12.42135593,9.297620994,11.13982411,10.06132727,11.83692659,11.69780891
C22H25O9N1,13.97304337,13.55467058,13.50637122,12.98115481,12.7722951,13.96311015,12.25193784,11.01341425,11.11367055,11.85512185,11.40766865,11.88009547
C21H25O8N3,12.61130328,12.62142921,14.52729551,12.3424616,12.59105714,14.09039683,13.34472284,10.6330195,10.55227227,11.26982744,11.96772498,12.9561467
C23H29O8N1,6.905630794,6.46727912,6.641219311,6.794850912,6.489302272,6.931721119,6.967340898,5.18434213,5.639513421,7.092746465,6.549963267,6.122064053
C20H16O12,15.38435338,11.57710322,9.480478342,7.019064691,8.44789164,8.693323204,9.213801626,10.68723424,14.33135616,7.617189236,10.68011739,10.22209661
C17H20O12S1,5.842750273,5.05830449,5.553219635,4.234389461,3.918560262,5.488649476,4.677485363,6.546916435,6.056222605,5.121254373,5.886124152,5.93848118
C21H20O11,37.15812828,31.86125232,30.51369329,29.40014374,32.2793353,32.09915298,31.98151764,31.47291779,35.91412318,30.0732506,32.00576799,30.00259144
C18H24O11S1,18.84163483,19.60547817,20.48010782,18.49217224,19.61935839,22.12175796,21.01416449,20.12107933,19.57110976,18.88101715,19.77177851,20.48867115
C20H20O10N2,11.86594124,12.0066508,11.99986209,11.88786782,10.33917876,11.94522459,12.52039594,9.956479971,10.52027667,11.27425615,10.68012721,9.983963216
C18H24O13,8.82965669,9.152843481,11.01187348,8.306496833,8.177721462,12.27575253,10.43366397,8.841318959,11.10783834,9.288878585,10.83942561,11.08353465
C22H24O10,61.77768262,64.25284997,69.33621482,63.70241011,66.50022034,69.85724053,69.41849181,59.8224885,60.3340782,61.30877745,63.29501497,64.97125229
C19H28O10S1,23.15500189,20.62525374,21.32539481,21.88963403,23.77446925,22.55288607,21.44337784,21.74678058,18.7903876,19.47053364,21.2406705,21.48240528
C21H24O9N2,18.06552142,19.92686763,23.01595539,20.07721367,21.11627815,22.21209632,22.51639537,18.37126231,17.69978021,20.68744919,18.43034031,19.30678835
C19H28O12,13.49345486,14.52209062,16.62421198,14.41256057,15.54817316,17.99120773,17.258619,14.0627701,15.26503232,16.00928104,16.81390068,17.28111413
C23H28O9,65.07033316,70.76702017,73.09058734,69.89541579,74.70303378,77.95413206,76.21803675,63.50633809,64.3584676,69.24188262,71.42418667,71.54515351
