Id	Sample_1540_DNA	Sample_1540_RNA	Sample_1541_DNA	Sample_1541_RNA	Sample_1542_DNA	Sample_1542_RNA	Sample_1543_DNA	Sample_1543_RNA	Sample_1544_DNA	Sample_1544_RNA
Bac51	6	0	1	0	3	0	1	1	3	0
Bac513	0	0	0	0	0	0	0	0	0	0
Bac514	0	0	0	0	0	0	0	0	0	0
Bac515	0	0	0	0	0	0	0	0	0	0
Bac517	0	0	0	0	3	0	0	0	0	0
Bac518	0	0	0	0	0	0	0	0	0	0
Bac522	0	0	0	0	0	0	0	0	0	0
Bac524	0	0	0	0	1	0	0	0	1	0
Bac525	0	0	0	0	0	0	0	0	0	0
Bac526	0	0	0	0	0	0	0	0	0	0
Bac527	1	0	1	0	0	0	0	0	0	0
Bac528	16	7	5	3	34	25	4	11	29	5
Bac529	0	0	0	0	0	1	0	4	0	0
Bac53	121	48	44	37	200	52	105	67	259	38
Bac530	0	0	0	0	0	0	0	0	0	0
Bac531	0	0	0	0	0	0	0	0	0	0
Bac532	0	0	0	0	0	0	0	0	2	1
Bac54	151	108	62	22	172	9	73	33	277	44
Bac55	7	5	1	2	7	2	3	1	8	0
Bac56	1	2	1	0	3	3	0	3	2	1
Bac57	26	5	10	1	24	1	11	2	33	1
Bac59	4	5	6	1	10	1	3	6	12	4
Bac6	117	230	43	114	139	168	76	130	168	117
Bac60	27	14	10	6	34	5	31	13	72	22
Bac61	64	97	30	21	81	4	53	26	101	31
Bac64	3	3	2	3	1	1	4	3	7	3
Bac66	18	2	3	1	23	2	13	3	35	1
Bac68	39	15	8	3	28	1	26	5	63	4
Bac69	2	0	2	1	0	0	3	1	12	0
Bac7	109	94	56	18	187	38	102	44	222	65
Bac70	3	0	2	0	22	0	3	0	17	1
Bac73	1	3	1	3	4	2	2	6	2	6
Bac74	15	5	12	1	31	3	18	4	35	1
Bac76	5	2	1	0	5	1	2	0	4	3
Bac77	0	0	0	0	1	0	0	0	2	0
Bac78	2	2	0	0	1	0	1	0	0	0
Bac8	362	720	132	440	510	307	232	317	507	421
Bac80	0	0	1	0	0	0	0	0	0	0
Bac81	0	0	0	0	0	0	0	0	5	0
Bac82	0	0	0	0	0	0	0	0	0	0
Bac83	1	2	1	0	2	0	1	0	0	0
Bac84	0	0	0	0	0	0	0	0	0	0
Bac85	0	1	0	1	0	2	0	92	0	3
Bac86	12	63	4	32	17	34	9	42	11	42
Bac87	0	0	0	0	0	0	0	0	0	0
Bac9	262	698	81	192	288	193	187	194	422	364
Bac90	0	0	0	0	0	0	0	0	0	0
Bac91	0	1	0	1	0	0	1	1	1	3
Bac93	3	0	3	0	13	3	6	125	2	3
Bac94	0	3	0	1	4	8	1	180	1	1
Bac95	0	0	0	0	0	0	0	1	0	0
Bac96	7	12	4	5	17	9	4	7	10	4
Bac97	1	0	1	2	3	1	2	1	1	0
Bac99	41	15	16	5	53	9	41	5	60	5
